GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Codec,org.apache.commons.codec.language,MatchRatingApproachEncoder,2,659,3,81,1,114,3,52,0,13
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,0,479,1,64,0,79,1,42,0,8
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,38,3073,39,399,6,401,37,232,0,39
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Branch,4,119,3,17,2,28,3,14,0,7
Apache Commons Codec,org.apache.commons.codec.language,Soundex,8,261,2,32,3,55,4,26,2,11
Apache Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,5,0,4,0,3
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,81,527,13,71,7,120,13,42,0,13
Apache Commons Codec,org.apache.commons.codec.language,Nysiis,0,454,0,71,0,83,0,46,0,9
Apache Commons Codec,org.apache.commons.codec.language,RefinedSoundex,0,128,1,17,0,38,1,17,0,9
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,0,39,0,2,0,11,0,6,0,5
Apache Commons Codec,org.apache.commons.codec.language,Metaphone,1,705,13,145,1,141,13,87,0,12
Apache Commons Codec,org.apache.commons.codec.language,SoundexUtils,0,99,0,20,0,22,0,15,0,5
Apache Commons Codec,org.apache.commons.codec.language,Caverphone,38,0,2,0,8,0,6,0,5,0
Apache Commons Codec,org.apache.commons.codec.language,Caverphone2,0,314,0,2,0,64,0,3,0,2
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,0,151,0,12,0,37,0,18,0,12
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,19,31,0,0,3,8,1,4,1,4
Apache Commons Codec,org.apache.commons.codec.language,Caverphone1,0,301,0,4,0,61,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Rule,28,79,0,18,2,16,1,14,1,5
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,0,45,0,8,0,10,0,7,0,3
Apache Commons Codec,org.apache.commons.codec.cli,Digest,244,23,29,1,46,6,24,1,9,1
Apache Commons Codec,org.apache.commons.codec.digest,HmacUtils,55,415,0,6,16,77,7,54,7,51
Apache Commons Codec,org.apache.commons.codec.digest,Sha2Crypt,27,800,4,38,4,130,4,26,0,9
Apache Commons Codec,org.apache.commons.codec.digest,Blake3,35,1079,4,14,4,81,4,27,0,22
Apache Commons Codec,org.apache.commons.codec.digest,Blake3.EngineState,0,182,0,8,0,41,0,11,0,7
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3.IncrementalHash32,0,54,0,4,0,13,0,5,0,2
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32C,137,8364,7,3,9,26,8,6,1,5
Apache Commons Codec,org.apache.commons.codec.digest,UnixCrypt,6,5940,1,23,1,150,2,24,1,13
Apache Commons Codec,org.apache.commons.codec.digest,MessageDigestAlgorithms,0,55,0,0,0,1,0,1,0,1
Apache Commons Codec,org.apache.commons.codec.digest,HmacAlgorithms,0,84,0,0,0,12,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.digest,DigestUtils,177,409,0,6,48,102,46,82,46,79
Apache Commons Codec,org.apache.commons.codec.digest,Blake3.ChunkState,0,130,0,6,0,27,0,8,0,5
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3.IncrementalHash32x86,13,277,1,17,1,52,1,16,0,6
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash2,0,437,0,16,0,54,0,22,0,10
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3,0,1204,0,40,0,196,0,60,0,28
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32,0,8509,0,10,0,27,0,15,0,7
Apache Commons Codec,org.apache.commons.codec.digest,XXHash32,0,433,0,16,0,79,0,17,0,9
Apache Commons Codec,org.apache.commons.codec.digest,Crypt,0,50,0,8,0,14,0,9,0,5
Apache Commons Codec,org.apache.commons.codec.digest,Md5Crypt,12,405,2,28,1,74,2,24,0,11
Apache Commons Codec,org.apache.commons.codec.digest,Blake3.Output,0,86,0,4,0,22,0,5,0,3
Apache Commons Codec,org.apache.commons.codec.digest,B64,0,72,0,4,0,13,0,7,0,5
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec.Context,0,62,0,0,0,4,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.binary,Base32OutputStream,0,37,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.binary,StringUtils,0,163,0,24,0,38,0,33,0,21
Apache Commons Codec,org.apache.commons.codec.binary,Base32,26,2689,4,78,2,180,4,60,0,18
Apache Commons Codec,org.apache.commons.codec.binary,Hex,0,543,0,26,0,86,0,45,0,32
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecOutputStream,0,157,1,19,0,40,1,17,0,8
Apache Commons Codec,org.apache.commons.codec.binary,Base16,0,1172,1,41,0,68,1,30,0,10
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecInputStream,14,216,1,35,3,48,3,24,2,7
Apache Commons Codec,org.apache.commons.codec.binary,CharSequenceUtils,7,54,3,11,2,16,2,7,0,2
Apache Commons Codec,org.apache.commons.codec.binary,Base64.Builder,0,25,0,0,0,4,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.binary,Base32.Builder,0,19,0,0,0,3,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.binary,Base16OutputStream,0,28,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.binary,Base64InputStream,0,36,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.binary,BinaryCodec,0,342,0,50,0,61,0,38,0,13
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec,10,488,2,60,3,92,3,56,1,27
Apache Commons Codec,org.apache.commons.codec.binary,Base64OutputStream,0,36,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.binary,Base16InputStream,0,28,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.binary,Base64,29,2007,6,104,3,172,7,85,1,34
Apache Commons Codec,org.apache.commons.codec.binary,Base32InputStream,0,37,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec.AbstractBuilder,2,78,1,5,0,23,1,14,0,12
Apache Commons Codec,org.apache.commons.codec,Resources,3,21,0,2,2,4,1,2,1,1
Apache Commons Codec,org.apache.commons.codec,DecoderException,0,16,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec,StringEncoderComparator,6,30,0,0,3,11,1,2,1,2
Apache Commons Codec,org.apache.commons.codec,CodecPolicy,0,24,0,0,0,3,0,1,0,1
Apache Commons Codec,org.apache.commons.codec,CharEncoding,0,22,0,0,0,8,0,2,0,2
Apache Commons Codec,org.apache.commons.codec,EncoderException,0,16,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec,Charsets,29,0,4,0,10,0,6,0,4,0
Apache Commons Codec,org.apache.commons.codec.net,QuotedPrintableCodec,13,517,2,82,4,120,4,63,2,23
Apache Commons Codec,org.apache.commons.codec.net,PercentCodec,0,441,0,74,0,89,0,52,0,15
Apache Commons Codec,org.apache.commons.codec.net,BCodec,8,140,0,14,2,34,0,22,0,15
Apache Commons Codec,org.apache.commons.codec.net,QCodec,16,318,0,34,4,86,0,32,0,15
Apache Commons Codec,org.apache.commons.codec.net,Utils,0,32,0,2,0,6,0,4,0,3
Apache Commons Codec,org.apache.commons.codec.net,URLCodec,3,342,0,46,1,87,1,37,1,14
Apache Commons Codec,org.apache.commons.codec.net,RFC1522Codec,10,177,1,17,2,41,2,13,1,5
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.SomeLanguages,7,96,2,8,3,20,3,12,1,9
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.PhonemeExpr,8,0,0,0,1,0,1,0,1,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},15,5,0,0,6,2,6,2,6,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},5,15,0,0,1,7,1,7,1,7
Apache Commons Codec,org.apache.commons.codec.language.bm,RuleType,0,48,0,0,0,8,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.RulesApplication,0,100,0,8,0,27,0,9,0,5
Apache Commons Codec,org.apache.commons.codec.language.bm,NameType,0,48,0,0,0,8,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang.LangRule,0,18,0,0,0,6,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.LanguageSet,0,14,0,2,0,2,0,3,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.PhonemeBuilder,0,126,1,9,0,27,1,12,0,8
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine,38,609,2,28,5,98,4,28,2,14
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.Phoneme,37,110,0,8,3,29,2,15,2,11
Apache Commons Codec,org.apache.commons.codec.language.bm,BeiderMorseEncoder,0,109,0,4,0,28,0,12,0,10
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.PhonemeList,0,13,0,0,0,5,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.language.bm,ResourceConstants,3,3,0,0,1,1,1,1,1,1
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,0,115,0,12,0,26,0,12,0,6
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang,30,203,3,21,3,44,3,16,1,6
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,19,0,0,0,4,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule() {...},58,30,0,0,9,3,1,1,1,1
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,124,856,9,113,15,160,14,81,5,29
