GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,3,106,5,17,1,21,5,13,0,7
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,3,67,5,15,1,12,5,9,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,7,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,17,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,3,334,2,18,1,66,2,28,0,20
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,6,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,8,106,6,18,2,23,6,15,0,9
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,6,37,1,1,2,10,2,7,1,7
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,14,96,1,3,5,21,3,10,2,9
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,17,62,1,1,4,17,4,13,3,13
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,85,0,0,2,22,1,18,1,18
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,99,1,5,0,19,1,9,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,8,234,2,28,2,65,3,29,1,16
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,24,81,4,8,6,22,6,14,2,12
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0,90,0,6,0,18,0,10,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,46,391,1,57,12,98,6,50,5,22
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,2,237,2,4,0,47,2,22,0,21
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection.Builder,22,147,1,5,6,35,3,14,2,12
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,0,49,0,2,0,14,0,11,0,10
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,4,91,3,11,0,21,3,9,0,5
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,8,46,2,6,3,12,3,6,1,4
Apache Commons Collections,org.apache.commons.collections4.comparators,BooleanComparator,7,76,1,13,1,16,2,15,1,9
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,0,33,0,6,0,8,0,9,0,6
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,0,34,0,0,0,2,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,28,278,3,41,2,48,3,32,0,12
Apache Commons Collections,org.apache.commons.collections4.comparators,NullComparator,28,74,7,15,8,19,9,9,3,4
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparatorChain,59,195,9,25,19,56,14,21,6,12
Apache Commons Collections,org.apache.commons.collections4.properties,OrderedPropertiesFactory,0,9,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.properties,AbstractPropertiesFactory,2,122,1,5,1,27,1,12,0,10
Apache Commons Collections,org.apache.commons.collections4.properties,PropertiesFactory,0,14,0,0,0,3,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.properties,OrderedProperties,6,231,9,11,1,56,9,19,0,18
Apache Commons Collections,org.apache.commons.collections4.properties,SortedPropertiesFactory,0,9,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.properties,SortedProperties,0,40,0,0,0,5,0,5,0,5
Apache Commons Collections,org.apache.commons.collections4.properties,PropertiesFactory.EmptyProperties,10,185,1,3,5,60,5,36,4,35
Apache Commons Collections,org.apache.commons.collections4.properties,AbstractPropertiesFactory.PropertyFormat,0,35,0,2,0,4,0,3,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,KeepCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,DeleteCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator,5,558,3,79,1,76,3,44,0,6
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator.Snake,0,21,0,0,0,8,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.sequence,ReplacementsFinder,65,0,4,0,17,0,6,0,4,0
Apache Commons Collections,org.apache.commons.collections4.sequence,EditCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,InsertCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,EditScript,3,69,0,2,1,19,1,7,1,6
Apache Commons Collections,org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,15,174,10,24,4,36,11,14,1,7
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag,15,626,8,74,3,152,8,60,0,27
Apache Commons Collections,org.apache.commons.collections4.bag,PredicatedBag,0,55,0,4,0,11,0,11,0,9
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedBag,24,79,0,2,5,16,2,9,2,8
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag.BagIterator,4,112,1,13,1,26,1,10,0,4
Apache Commons Collections,org.apache.commons.collections4.bag,PredicatedSortedBag,0,27,0,0,0,7,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractSortedBagDecorator,7,16,0,0,3,5,2,4,2,4
Apache Commons Collections,org.apache.commons.collections4.bag,UnmodifiableSortedBag,19,58,0,2,5,18,4,12,4,11
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedBag.SynchronizedBagSet,8,0,0,0,3,0,1,0,1,0
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractBagDecorator,13,35,0,4,4,7,3,8,3,6
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedSortedBag,42,9,0,0,9,3,5,2,5,2
Apache Commons Collections,org.apache.commons.collections4.bag,TransformedSortedBag,4,63,1,3,1,13,2,7,1,6
Apache Commons Collections,org.apache.commons.collections4.bag,TransformedBag,9,90,1,7,2,16,2,12,1,9
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag.MutableInteger,18,6,4,0,4,3,4,1,2,1
Apache Commons Collections,org.apache.commons.collections4.bag,TreeBag,7,82,0,4,3,20,1,11,1,9
Apache Commons Collections,org.apache.commons.collections4.bag,CollectionBag,11,127,3,17,2,35,3,18,0,11
Apache Commons Collections,org.apache.commons.collections4.bag,CollectionSortedBag,11,127,3,17,2,35,3,18,0,11
Apache Commons Collections,org.apache.commons.collections4.bag,UnmodifiableBag,19,60,0,2,5,19,4,12,4,11
Apache Commons Collections,org.apache.commons.collections4.bag,HashBag,0,28,0,0,0,11,0,4,0,4
