GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,49,127,4,26,6,41,6,15,2,4
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,5,251,1,25,0,59,1,28,0,16
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,5,30,0,0,1,11,1,5,1,5
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,0,78,0,0,0,12,0,10,0,10
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,46,295,8,22,11,63,7,36,0,28
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,3,112,1,11,0,25,1,16,0,11
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,0,86,0,6,0,18,0,12,0,9
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,89,357,9,33,18,90,7,42,1,27
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,89,278,10,32,8,56,9,25,0,13
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,366,428,10,22,72,116,61,41,52,34
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,0,21,0,2,0,7,0,4,0,3
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,0,29,0,0,0,7,0,4,0,4
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,0,31,0,2,0,9,0,4,0,3
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,20,77,1,7,6,26,3,14,2,11
