GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingConnection,539,684,23,59,220,191,46,76,29,52
Apache Commons DBCP,org.apache.commons.dbcp2,DriverConnectionFactory,9,47,0,0,3,8,3,3,3,3
Apache Commons DBCP,org.apache.commons.dbcp2,ObjectNameWrapper,34,69,3,9,8,21,3,13,0,10
Apache Commons DBCP,org.apache.commons.dbcp2,DataSourceConnectionFactory,10,54,0,4,3,15,3,6,3,4
Apache Commons DBCP,org.apache.commons.dbcp2,PoolableCallableStatement,10,38,0,2,4,15,0,5,0,4
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey,166,667,2,31,29,123,18,58,16,43
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingCallableStatement,604,1011,0,0,302,362,0,123,0,123
Apache Commons DBCP,org.apache.commons.dbcp2,BasicDataSource,412,1339,40,92,93,391,65,172,29,142
Apache Commons DBCP,org.apache.commons.dbcp2,PoolableConnectionFactory,135,495,15,45,37,153,35,57,23,39
Apache Commons DBCP,org.apache.commons.dbcp2,ListException,0,10,0,0,0,4,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingConnection.StatementType,0,24,0,0,0,3,0,1,0,1
Apache Commons DBCP,org.apache.commons.dbcp2,SwallowedExceptionLogger,0,27,1,3,0,9,1,4,0,3
Apache Commons DBCP,org.apache.commons.dbcp2,LifetimeExceededException,0,7,0,0,0,4,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingDriver.PoolGuardConnectionWrapper,11,17,3,1,4,6,3,2,1,2
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingDataSource.PoolGuardConnectionWrapper,0,44,0,10,0,10,0,10,0,5
Apache Commons DBCP,org.apache.commons.dbcp2,SQLExceptionList,0,35,0,4,0,5,0,4,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingDatabaseMetaData,1155,1018,6,8,529,234,5,184,2,180
Apache Commons DBCP,org.apache.commons.dbcp2,DriverManagerConnectionFactory,9,96,0,6,3,31,3,9,3,6
Apache Commons DBCP,org.apache.commons.dbcp2,BasicDataSourceFactory,113,928,19,23,27,128,15,28,1,21
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingStatement,304,577,10,26,139,199,12,75,3,66
Apache Commons DBCP,org.apache.commons.dbcp2,Constants,0,3,0,0,0,1,0,1,0,1
Apache Commons DBCP,org.apache.commons.dbcp2,PoolablePreparedStatement,10,58,0,4,4,24,0,9,0,7
Apache Commons DBCP,org.apache.commons.dbcp2,Utils,25,169,4,22,10,41,7,22,3,13
Apache Commons DBCP,org.apache.commons.dbcp2,ConnectionFactoryFactory,25,96,0,6,5,17,1,4,1,1
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingPreparedStatement,265,586,6,6,123,241,7,62,1,62
Apache Commons DBCP,org.apache.commons.dbcp2,AbandonedTrace,5,181,2,16,2,60,3,22,1,15
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingResultSet,1010,1270,6,18,494,418,10,205,6,197
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingConnection,34,391,7,15,12,76,8,38,1,34
Apache Commons DBCP,org.apache.commons.dbcp2,Jdbc41Bridge,421,35,90,0,122,12,50,8,5,8
Apache Commons DBCP,org.apache.commons.dbcp2,DriverFactory,71,49,6,6,13,17,6,2,1,1
Apache Commons DBCP,org.apache.commons.dbcp2,PoolableConnection,74,282,11,45,27,93,15,30,5,12
Apache Commons DBCP,org.apache.commons.dbcp2,DataSourceMXBean,4,5,0,0,3,2,3,2,3,2
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingDriver,62,134,5,9,17,37,11,12,6,10
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingDataSource,47,125,2,10,14,32,6,15,4,11
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,PoolKey,0,77,0,8,0,20,0,8,0,4
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,PerUserPoolDataSource,125,1173,12,94,32,330,15,126,5,83
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,CPDSConnectionFactory,229,342,11,13,63,96,13,23,3,21
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,InstanceKeyDataSourceFactory,285,279,85,43,43,88,64,13,6,7
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,InstanceKeyDataSource,469,618,15,41,111,218,22,91,10,75
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,PerUserPoolDataSourceFactory,104,71,27,9,15,23,18,4,0,4
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,CharArray,4,48,2,2,2,14,2,7,0,7
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,PooledConnectionAndInfo,9,23,0,0,2,8,1,5,1,5
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,SharedPoolDataSource,63,230,4,14,14,58,5,17,2,11
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,SharedPoolDataSourceFactory,9,23,3,1,1,7,2,4,0,4
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,UserPassKey,11,85,0,6,2,22,1,12,1,9
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,KeyedCPDSConnectionFactory,119,280,7,13,35,88,11,17,4,14
Apache Commons DBCP,org.apache.commons.dbcp2.cpdsadapter,PStmtKeyCPDS,36,0,0,0,12,0,6,0,6,0
Apache Commons DBCP,org.apache.commons.dbcp2.cpdsadapter,DriverAdapterCPDS,11,842,13,41,3,217,13,65,0,51
Apache Commons DBCP,org.apache.commons.dbcp2.cpdsadapter,ConnectionImpl,62,148,2,4,30,36,2,16,1,14
